t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
121.002,1786573967.436,-45,-94,960,116,80,6
122.000,1786573968.434,-46,-94,960,116,80,6
123.005,1786573969.438,-45,-94,960,116,80,6
124.000,1786573970.433,-45,-94,960,116,80,6
125.000,1786573971.434,-45,-94,960,116,80,6
126.005,1786573972.438,-45,-94,1020,116,80,6
127.005,1786573973.438,-45,-94,1020,116,80,6
128.001,1786573974.435,-45,-94,1020,116,80,6
129.005,1786573975.438,-45,-94,1020,116,80,6
130.002,1786573976.436,-45,-94,1020,116,80,6
131.005,1786573977.439,-46,-94,1200,116,80,6
132.001,1786573978.434,-46,-94,1200,116,80,6
133.001,1786573979.435,-46,-94,1200,116,80,6
134.002,1786573980.436,-46,-94,1200,116,80,6
135.001,1786573981.434,-45,-94,1200,116,80,6
136.005,1786573982.438,-45,-94,1200,116,80,6
137.005,1786573983.441,-46,-94,1200,116,80,6
138.005,1786573984.439,-45,-94,1200,116,80,6
139.002,1786573985.435,-45,-94,1200,116,80,6
140.002,1786573986.436,-45,-94,1200,116,80,6
141.002,1786573987.435,-45,-94,1200,116,80,6
142.000,1786573988.434,-45,-94,1200,116,80,6
143.005,1786573989.439,-45,-94,1200,116,80,6
144.005,1786573990.438,-45,-94,1200,116,80,6
