t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
0.000,1786573697.031,-44,-95,960,116,80,6
1.005,1786573698.038,-44,-95,960,116,80,6
2.000,1786573699.035,-44,-95,960,116,80,6
3.002,1786573700.035,-44,-95,960,116,80,6
4.004,1786573701.038,-44,-95,960,116,80,6
5.002,1786573702.035,-44,-95,286,116,80,6
6.001,1786573703.033,-45,-95,286,116,80,6
7.002,1786573704.034,-45,-95,286,116,80,6
8.004,1786573705.036,-44,-95,286,116,80,6
9.005,1786573706.038,-44,-95,286,116,80,6
10.001,1786573707.034,-44,-95,1080,116,80,6
11.004,1786573708.039,-45,-95,1080,116,80,6
12.001,1786573709.032,-44,-95,1080,116,80,6
13.002,1786573710.034,-45,-95,1080,116,80,6
14.001,1786573711.032,-44,-95,1080,116,80,6
15.005,1786573712.036,-44,-95,1200,116,80,6
16.002,1786573713.034,-44,-95,1200,116,80,6
17.005,1786573714.036,-44,-95,1200,116,80,6
18.005,1786573715.036,-44,-95,1200,116,80,6
19.000,1786573716.032,-44,-95,1200,116,80,6
20.002,1786573717.033,-44,-95,1200,116,80,6
21.005,1786573718.036,-44,-95,1200,116,80,6
22.000,1786573719.032,-44,-95,1200,116,80,6
23.002,1786573720.033,-44,-95,1200,116,80,6
24.002,1786573721.033,-44,-95,1200,116,80,6
25.005,1786573722.037,-44,-95,1080,116,80,6
26.000,1786573723.032,-44,-95,1080,116,80,6
27.002,1786573724.034,-44,-95,1080,116,80,6
28.001,1786573725.033,-45,-95,1080,116,80,6
29.005,1786573726.038,-45,-95,1080,116,80,6
30.004,1786573727.036,-44,-95,1080,116,80,6
31.001,1786573728.034,-44,-95,1080,116,80,6
32.002,1786573729.034,-44,-95,1080,116,80,6
33.002,1786573730.044,-44,-95,1080,116,80,6
34.004,1786573731.036,-44,-95,1080,116,80,6
35.002,1786573732.034,-44,-95,1134,116,80,6
36.001,1786573733.031,-44,-95,1134,116,80,6
37.005,1786573734.036,-44,-95,1134,116,80,6
38.005,1786573735.037,-44,-95,1134,116,80,6
39.002,1786573736.034,-44,-95,1134,116,80,6
40.002,1786573737.034,-44,-95,1080,116,80,6
41.005,1786573738.038,-44,-95,1080,116,80,6
42.003,1786573739.035,-43,-95,1080,116,80,6
43.003,1786573740.035,-45,-95,1080,116,80,6
44.002,1786573741.033,-44,-95,1080,116,80,6
45.001,1786573742.033,-44,-95,1080,116,80,6
46.005,1786573743.037,-44,-95,1080,116,80,6
47.004,1786573744.036,-45,-95,1080,116,80,6
48.002,1786573745.033,-45,-95,1080,116,80,6
49.005,1786573746.037,-44,-95,1080,116,80,6
50.000,1786573747.032,-44,-95,1200,116,80,6
51.002,1786573748.034,-44,-95,1200,116,80,6
52.002,1786573749.034,-45,-95,1200,116,80,6
53.002,1786573750.034,-44,-95,1200,116,80,6
54.004,1786573751.036,-43,-95,1200,116,80,6
55.004,1786573752.036,-44,-95,1080,116,80,6
56.005,1786573753.040,-44,-95,1080,116,80,6
57.000,1786573754.032,-44,-95,1080,116,80,6
58.003,1786573755.035,-44,-95,1080,116,80,6
59.002,1786573756.034,-44,-95,1080,116,80,6
60.001,1786573757.032,-44,-95,1080,116,80,6
61.005,1786573758.037,-44,-95,1080,116,80,6
62.004,1786573759.036,-44,-95,1080,116,80,6
63.005,1786573760.040,-44,-95,1080,116,80,6
64.005,1786573761.037,-44,-95,1080,116,80,6
65.005,1786573762.037,-45,-95,1080,116,80,6
66.001,1786573763.032,-45,-95,1080,116,80,6
67.002,1786573764.034,-44,-95,1080,116,80,6
68.001,1786573765.032,-44,-95,1080,116,80,6
69.000,1786573766.032,-43,-95,1080,116,80,6
70.004,1786573767.036,-44,-95,1080,116,80,6
71.004,1786573768.036,-44,-95,1080,116,80,6
72.005,1786573769.037,-43,-95,1080,116,80,6
73.005,1786573770.037,-44,-95,1080,116,80,6
74.000,1786573771.032,-44,-95,1080,116,80,6
75.000,1786573772.032,-44,-95,1200,116,80,6
76.002,1786573773.034,-44,-95,1200,116,80,6
77.001,1786573774.033,-44,-95,1200,116,80,6
78.002,1786573775.034,-44,-95,1200,116,80,6
79.004,1786573776.036,-44,-95,1200,116,80,6
80.004,1786573777.036,-44,-95,1020,116,80,6
81.000,1786573778.032,-44,-95,1020,116,80,6
82.004,1786573779.036,-45,-95,1020,116,80,6
83.002,1786573780.033,-44,-95,1020,116,80,6
84.005,1786573781.036,-43,-95,1020,116,80,6
85.002,1786573782.033,-44,-95,1080,116,80,6
86.001,1786573783.033,-44,-95,1080,116,80,6
87.002,1786573784.034,-44,-95,1080,116,80,6
88.002,1786573785.034,-44,-95,1080,116,80,6
89.003,1786573786.035,-44,-95,1080,116,80,6
90.005,1786573787.037,-44,-95,1080,116,80,6
91.003,1786573788.036,-44,-95,1080,116,80,6
92.005,1786573789.037,-44,-95,1080,116,80,6
93.003,1786573790.036,-44,-95,1080,116,80,6
94.004,1786573791.036,-44,-95,1080,116,80,6
95.000,1786573792.032,-44,-95,1080,116,80,6
96.000,1786573793.032,-44,-95,1080,116,80,6
97.003,1786573794.035,-43,-95,1080,116,80,6
98.005,1786573795.037,-41,-95,1080,116,80,6
99.000,1786573796.032,-43,-95,1080,116,80,6
100.001,1786573797.032,-41,-95,1200,116,80,6
101.003,1786573798.035,-41,-95,1200,116,80,6
102.000,1786573799.032,-42,-95,1200,116,80,6
103.000,1786573800.033,-42,-95,1200,116,80,6
104.004,1786573801.036,-40,-95,1200,116,80,6
105.000,1786573802.033,-39,-94,1200,116,80,6
106.002,1786573803.034,-39,-94,1200,116,80,6
107.002,1786573804.033,-40,-94,1200,116,80,6
108.002,1786573805.034,-40,-94,1200,116,80,6
109.001,1786573806.033,-40,-94,1200,116,80,6
110.002,1786573807.034,-40,-94,1200,116,80,6
111.001,1786573808.033,-40,-94,1200,116,80,6
112.002,1786573809.034,-40,-94,1200,116,80,6
113.005,1786573810.037,-41,-94,1200,116,80,6
114.003,1786573811.035,-40,-94,1200,116,80,6
115.000,1786573812.032,-40,-94,1200,116,80,6
116.001,1786573813.034,-40,-94,1200,116,80,6
117.004,1786573814.035,-40,-94,1200,116,80,6
118.000,1786573815.033,-41,-94,1200,116,80,6
119.004,1786573816.036,-40,-94,1200,116,80,6
120.003,1786573817.035,-40,-94,1200,116,80,6
121.000,1786573818.032,-40,-94,1200,116,80,6
122.003,1786573819.035,-40,-94,1200,116,80,6
123.001,1786573820.033,-40,-94,1200,116,80,6
124.003,1786573821.035,-40,-94,1200,116,80,6
125.001,1786573822.033,-41,-94,1200,116,80,6
126.004,1786573823.036,-41,-94,1200,116,80,6
127.001,1786573824.033,-40,-94,1200,116,80,6
128.000,1786573825.032,-40,-94,1200,116,80,6
129.005,1786573826.037,-40,-94,1200,116,80,6
130.004,1786573827.035,-40,-94,1200,116,80,6
131.001,1786573828.033,-41,-94,1200,116,80,6
132.005,1786573829.036,-40,-94,1200,116,80,6
133.005,1786573830.037,-40,-94,1200,116,80,6
134.004,1786573831.036,-40,-94,1200,116,80,6
135.004,1786573832.036,-40,-94,1200,116,80,6
136.005,1786573833.037,-39,-94,1200,116,80,6
137.003,1786573834.049,-39,-94,1200,116,80,6
138.000,1786573835.033,-40,-94,1200,116,80,6
139.005,1786573836.038,-40,-94,1200,116,80,6
140.002,1786573837.034,-40,-94,1200,116,80,6
141.001,1786573838.033,-39,-94,1200,116,80,6
142.003,1786573839.036,-41,-94,1200,116,80,6
143.000,1786573840.033,-40,-94,1200,116,80,6
144.004,1786573841.036,-40,-94,1200,116,80,6
