t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
122.000,1786571177.903,-48,-95,1080,116,80,6
123.005,1786571178.908,-48,-95,960,116,80,6
124.003,1786571179.906,-48,-95,960,116,80,6
125.001,1786571180.904,-46,-95,960,116,80,6
126.005,1786571181.908,-45,-95,960,116,80,6
127.005,1786571182.909,-47,-95,960,116,80,6
128.000,1786571183.904,-48,-95,1080,116,80,6
129.002,1786571184.905,-48,-95,1080,116,80,6
130.005,1786571185.909,-48,-95,1080,116,80,6
131.005,1786571186.909,-48,-95,1080,116,80,6
132.002,1786571187.906,-48,-95,1080,116,80,6
133.005,1786571188.908,-49,-95,1080,116,80,6
134.003,1786571189.907,-48,-95,1080,116,80,6
135.005,1786571190.908,-49,-95,1080,116,80,6
136.004,1786571191.908,-49,-95,1080,116,80,6
137.001,1786571192.905,-48,-95,1080,116,80,6
138.000,1786571193.904,-48,-95,960,116,80,6
139.002,1786571194.905,-48,-95,960,116,80,6
140.001,1786571195.905,-49,-95,960,116,80,6
141.005,1786571196.908,-48,-95,960,116,80,6
142.003,1786571197.907,-48,-95,960,116,80,6
143.005,1786571198.910,-48,-95,907,116,80,6
