t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787178177.828,-43,-94,1200,36,80,0
1.004,1787178178.831,-43,-94,1200,36,80,0
2.005,1787178179.832,-43,-94,1200,36,80,0
3.010,1787178180.837,-43,-94,1200,36,80,0
4.003,1787178181.831,-43,-94,1200,36,80,0
5.010,1787178182.837,-43,-94,1200,36,80,0
6.002,1787178183.830,-43,-94,1200,36,80,0
7.007,1787178184.836,-43,-94,1200,36,80,0
8.005,1787178185.833,-43,-94,1200,36,80,0
9.005,1787178186.833,-43,-94,1200,36,80,0
10.010,1787178187.838,-43,-94,1200,36,80,0
11.009,1787178188.837,-43,-94,1200,36,80,0
12.003,1787178189.831,-42,-94,1200,36,80,0
13.009,1787178190.837,-43,-94,1200,36,80,0
14.001,1787178191.829,-42,-94,1200,36,80,0
15.010,1787178192.838,-42,-94,1200,36,80,0
16.005,1787178193.833,-42,-94,1200,36,80,0
17.005,1787178194.832,-42,-94,1200,36,80,0
18.008,1787178195.836,-42,-94,1200,36,80,0
19.004,1787178196.831,-43,-94,1200,36,80,0
20.006,1787178197.833,-43,-94,1200,36,80,0
21.003,1787178198.831,-42,-94,1200,36,80,0
22.005,1787178199.832,-43,-94,1200,36,80,0
23.009,1787178200.836,-42,-94,1200,36,80,0
24.006,1787178201.834,-42,-94,1200,36,80,0
25.001,1787178202.829,-43,-94,1200,36,80,0
26.010,1787178203.838,-39,-94,1200,36,80,0
27.003,1787178204.832,-39,-94,1200,36,80,0
28.005,1787178205.833,-39,-94,1200,36,80,0
29.003,1787178206.832,-39,-94,1200,36,80,0
30.009,1787178207.836,-40,-94,1200,36,80,0
31.005,1787178208.833,-40,-94,576,36,80,0
32.010,1787178209.838,-39,-94,576,36,80,0
33.010,1787178210.838,-39,-94,576,36,80,0
34.008,1787178211.837,-39,-94,576,36,80,0
35.004,1787178212.832,-39,-94,576,36,80,0
36.007,1787178213.834,-39,-94,864,36,80,0
37.003,1787178214.831,-40,-94,864,36,80,0
38.007,1787178215.834,-40,-94,864,36,80,0
39.005,1787178216.833,-39,-94,864,36,80,0
40.005,1787178217.834,-39,-94,864,36,80,0
41.003,1787178218.831,-39,-94,540,36,80,0
42.010,1787178219.837,-40,-94,540,36,80,0
43.005,1787178220.833,-39,-94,540,36,80,0
44.005,1787178221.832,-40,-94,540,36,80,0
45.004,1787178222.832,-39,-94,540,36,80,0
