arm,side,t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
off,after,0.000,1787228396.615,-71,-94,432,36,80,0
off,after,1.002,1787228397.619,-72,-94,432,36,80,0
off,after,2.002,1787228398.618,-71,-94,432,36,80,0
off,after,3.003,1787228399.619,-72,-94,432,36,80,0
off,after,4.001,1787228400.618,-71,-94,432,36,80,0
on,before,0.000,1787228401.634,-72,-94,544,36,80,0
on,before,1.002,1787228402.637,-72,-94,544,36,80,0
on,before,2.005,1787228403.640,-72,-94,544,36,80,0
on,before,3.005,1787228404.639,-72,-94,544,36,80,0
on,before,4.001,1787228405.636,-71,-94,544,36,80,0
on,after,0.000,1787228507.692,-71,-94,576,36,80,0
on,after,1.000,1787228508.694,-72,-94,576,36,80,0
on,after,2.004,1787228509.697,-72,-94,576,36,80,0
on,after,3.005,1787228510.698,-71,-94,576,36,80,0
on,after,4.005,1787228511.700,-72,-94,576,36,80,0
contend,before,0.000,1787228512.713,-71,-94,576,36,80,0
contend,before,1.001,1787228513.715,-71,-94,576,36,80,0
contend,before,2.005,1787228514.719,-72,-94,576,36,80,0
contend,before,3.005,1787228515.719,-72,-94,576,36,80,0
contend,before,4.005,1787228516.720,-71,-94,432,36,80,0
contend,after,0.000,1787228618.881,-73,-94,432,36,80,0
contend,after,1.002,1787228619.884,-73,-94,432,36,80,0
contend,after,2.001,1787228620.884,-74,-94,432,36,80,0
contend,after,3.003,1787228621.900,-72,-94,432,36,80,0
contend,after,4.003,1787228622.886,-72,-94,408,36,80,0
off,before,0.000,1787228623.899,-72,-94,408,36,80,0
off,before,1.001,1787228624.901,-72,-94,408,36,80,0
off,before,2.002,1787228625.902,-73,-94,408,36,80,0
off,before,3.002,1787228626.903,-73,-94,408,36,80,0
off,before,4.001,1787228627.902,-73,-94,544,36,80,0
off,after,0.000,1787228730.089,-71,-94,576,36,80,0
off,after,1.002,1787228731.092,-72,-94,576,36,80,0
off,after,2.005,1787228732.095,-72,-94,576,36,80,0
off,after,3.000,1787228733.090,-74,-94,432,36,80,0
off,after,4.005,1787228734.095,-76,-94,432,36,80,0
on,before,0.000,1787228735.115,-76,-94,432,36,80,0
on,before,1.004,1787228736.115,-75,-94,432,36,80,0
on,before,2.000,1787228737.111,-74,-94,432,36,80,0
on,before,3.001,1787228738.111,-73,-95,272,36,80,0
on,before,4.004,1787228739.114,-72,-95,272,36,80,0
on,after,0.000,1787228840.960,-72,-94,432,36,80,0
on,after,1.000,1787228841.961,-73,-94,432,36,80,0
on,after,2.001,1787228842.963,-72,-94,408,36,80,0
on,after,3.002,1787228843.964,-72,-94,408,36,80,0
on,after,4.001,1787228844.964,-72,-94,408,36,80,0
expensive,before,0.000,1787228845.973,-74,-94,408,36,80,0
expensive,before,1.001,1787228846.975,-70,-94,408,36,80,0
expensive,before,2.001,1787228847.974,-70,-94,408,36,80,0
expensive,before,3.004,1787228848.977,-71,-94,408,36,80,0
expensive,before,4.004,1787228849.979,-70,-94,408,36,80,0
expensive,after,0.000,1787228951.784,-72,-94,544,36,80,0
expensive,after,1.004,1787228952.789,-73,-94,544,36,80,0
expensive,after,2.000,1787228953.785,-73,-94,432,36,80,0
expensive,after,3.005,1787228954.790,-73,-94,432,36,80,0
expensive,after,4.002,1787228955.787,-72,-94,432,36,80,0
