t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
0.000,1786568717.369,-42,-93,1200,116,80,6
1.005,1786568718.376,-42,-93,1200,116,80,6
2.005,1786568719.374,-43,-93,1200,116,80,6
3.004,1786568720.374,-43,-93,1200,116,80,6
4.005,1786568721.376,-42,-93,1200,116,80,6
5.002,1786568722.372,-42,-93,1200,116,80,6
6.005,1786568723.374,-44,-93,1200,116,80,6
7.003,1786568724.371,-44,-93,1200,116,80,6
8.002,1786568725.371,-44,-93,1200,116,80,6
9.004,1786568726.373,-44,-93,1200,116,80,6
10.005,1786568727.374,-44,-93,1200,116,80,6
11.000,1786568728.369,-43,-93,1200,116,80,6
12.004,1786568729.373,-43,-93,1200,116,80,6
13.000,1786568730.370,-44,-93,1200,116,80,6
14.000,1786568731.370,-44,-93,1080,116,80,6
15.004,1786568732.373,-43,-93,1080,116,80,6
16.001,1786568733.369,-44,-93,1080,116,80,6
17.002,1786568734.371,-44,-93,1080,116,80,6
18.002,1786568735.371,-44,-93,1080,116,80,6
19.002,1786568736.371,-44,-93,1200,116,80,6
20.002,1786568737.371,-44,-93,1200,116,80,6
21.005,1786568738.374,-44,-93,1200,116,80,6
22.004,1786568739.373,-44,-93,1200,116,80,6
23.005,1786568740.374,-43,-93,1200,116,80,6
24.002,1786568741.373,-43,-93,1200,116,80,6
25.005,1786568742.374,-43,-93,1200,116,80,6
26.002,1786568743.371,-44,-93,1200,116,80,6
27.000,1786568744.370,-43,-93,1200,116,80,6
28.001,1786568745.370,-44,-93,1200,116,80,6
29.001,1786568746.370,-43,-93,1200,116,80,6
30.000,1786568747.369,-44,-93,1200,116,80,6
31.001,1786568748.371,-44,-93,1200,116,80,6
32.002,1786568749.372,-44,-93,1200,116,80,6
33.000,1786568750.369,-44,-93,1200,116,80,6
34.001,1786568751.371,-44,-93,1200,116,80,6
35.005,1786568752.374,-43,-93,1200,116,80,6
36.005,1786568753.374,-44,-93,1200,116,80,6
37.001,1786568754.370,-43,-93,1200,116,80,6
38.003,1786568755.372,-44,-93,1200,116,80,6
39.001,1786568756.370,-44,-93,1134,116,80,6
40.005,1786568757.374,-44,-93,1134,116,80,6
41.000,1786568758.370,-43,-93,1134,116,80,6
42.001,1786568759.371,-44,-93,1134,116,80,6
43.001,1786568760.371,-44,-93,1134,116,80,6
44.002,1786568761.372,-44,-93,1200,116,80,6
45.004,1786568762.374,-44,-93,1200,116,80,6
46.002,1786568763.372,-44,-93,1200,116,80,6
47.001,1786568764.371,-44,-93,1200,116,80,6
48.002,1786568765.371,-44,-93,1200,116,80,6
49.000,1786568766.370,-44,-93,1200,116,80,6
50.000,1786568767.369,-44,-93,1200,116,80,6
51.005,1786568768.374,-44,-93,1200,116,80,6
52.000,1786568769.369,-44,-93,1200,116,80,6
53.000,1786568770.370,-44,-93,1200,116,80,6
54.001,1786568771.370,-44,-94,1200,116,80,6
55.000,1786568772.370,-44,-94,1200,116,80,6
56.002,1786568773.371,-44,-94,1200,116,80,6
57.000,1786568774.370,-44,-94,1200,116,80,6
58.002,1786568775.372,-44,-94,1200,116,80,6
59.002,1786568776.372,-44,-94,1200,116,80,6
60.002,1786568777.372,-44,-94,1200,116,80,6
61.005,1786568778.374,-44,-94,1200,116,80,6
62.002,1786568779.372,-43,-94,1200,116,80,6
63.005,1786568780.374,-44,-94,1200,116,80,6
64.003,1786568781.373,-44,-94,1200,116,80,6
65.005,1786568782.375,-44,-94,1200,116,80,6
66.005,1786568783.374,-43,-94,1200,116,80,6
67.001,1786568784.370,-44,-94,1200,116,80,6
68.005,1786568785.375,-44,-94,1200,116,80,6
69.002,1786568786.372,-43,-94,1200,116,80,6
70.005,1786568787.375,-43,-94,1200,116,80,6
71.005,1786568788.374,-42,-94,1200,116,80,6
72.000,1786568789.371,-43,-94,1200,116,80,6
73.005,1786568790.376,-43,-94,1200,116,80,6
74.002,1786568791.372,-42,-94,1200,116,80,6
75.001,1786568792.372,-43,-94,1200,116,80,6
76.003,1786568793.373,-43,-94,1200,116,80,6
77.004,1786568794.375,-43,-94,1200,116,80,6
