at_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,cost_ms
1.8e-05,-68,-94,576.0,36,80,3.13725
1.003156333,-69,-94,576.0,36,80,3.672333
2.006830416,-70,-94,576.0,36,80,4.310167
3.012414625,-69,-94,576.0,36,80,4.083166
4.016568375,-68,-94,576.0,36,80,3.715833
5.020285666,-68,-94,576.0,36,80,3.929959
6.025518375,-68,-94,576.0,36,80,3.792041
7.030842,-68,-94,576.0,36,80,3.673666
8.034516125,-68,-94,576.0,36,80,4.003833
9.038521333,-69,-94,576.0,36,80,3.813208
10.044382375,-69,-94,576.0,36,80,3.831041
11.048214083,-70,-94,576.0,36,80,3.728625
12.053953875,-70,-94,576.0,36,80,4.159625
13.058158708,-71,-94,576.0,36,80,4.038667
14.06241125,-70,-94,408.0,36,80,3.512833
15.065924416,-69,-94,408.0,36,80,4.088667
16.070054916,-70,-94,408.0,36,80,3.859709
17.074825291,-70,-94,408.0,36,80,3.905834
18.078731625,-70,-94,408.0,36,80,4.22875
19.083007958,-69,-94,432.0,36,80,3.664417
20.086673,-69,-94,432.0,36,80,4.165083
21.090838708,-70,-94,432.0,36,80,3.81525
22.0946965,-70,-94,432.0,36,80,3.740916
23.100445791,-69,-94,432.0,36,80,3.7675
24.104495291,-69,-94,576.0,36,80,3.540125
25.108084666,-69,-94,576.0,36,80,3.978
26.11206325,-70,-94,576.0,36,80,4.1015
27.117342833,-70,-94,576.0,36,80,3.284125
28.12267375,-69,-94,576.0,36,80,4.008833
29.127017375,-70,-94,576.0,36,80,3.746125
30.130764166,-69,-94,576.0,36,80,4.146042
31.134998833,-70,-94,576.0,36,80,3.769958
32.140365916,-71,-94,576.0,36,80,3.892875
33.146273375,-69,-94,576.0,36,80,4.176583
34.150492791,-70,-94,576.0,36,80,3.753334
35.154247,-70,-94,576.0,36,80,3.933083
36.158180708,-69,-94,576.0,36,80,3.631625
37.162458166,-68,-94,576.0,36,80,3.925667
38.166538708,-69,-94,576.0,36,80,3.902333
39.170441625,-69,-94,576.0,36,80,4.033625
40.17652825,-69,-94,576.0,36,80,3.546708
41.180972958,-68,-94,576.0,36,80,4.020583
42.184994166,-68,-94,576.0,36,80,3.995959
43.189037458,-68,-94,576.0,36,80,3.636375
44.192674416,-68,-94,576.0,36,80,3.4735
45.196148708,-68,-94,576.0,36,80,4.018042
46.2022155,-69,-94,576.0,36,80,4.824041
47.207040416,-69,-94,576.0,36,80,4.483917
48.212769333,-68,-94,576.0,36,80,3.305708
49.217403875,-68,-94,576.0,36,80,3.974916
50.22137925,-68,-94,576.0,36,80,3.821375
51.226687416,-68,-94,576.0,36,80,4.359542
