at_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,cost_ms
1.4916e-05,-70,-93,576.0,36,80,3.245167
1.003260791,-69,-93,576.0,36,80,3.859292
2.007122416,-69,-93,576.0,36,80,4.13925
3.011262333,-70,-93,576.0,36,80,3.510458
4.015145,-69,-93,576.0,36,80,3.637166
5.018783541,-69,-93,576.0,36,80,4.1865
6.022971,-69,-93,576.0,36,80,3.894625
7.026912458,-69,-93,432.0,36,80,3.983417
8.030896375,-70,-93,432.0,36,80,3.518708
9.034416458,-69,-93,432.0,36,80,3.857208
10.038316083,-69,-93,432.0,36,80,3.994583
11.042311208,-69,-93,432.0,36,80,3.849542
12.046161416,-70,-93,432.0,36,80,3.387917
13.049587916,-69,-93,432.0,36,80,4.008959
14.053597666,-71,-93,432.0,36,80,4.076834
15.057675333,-70,-93,432.0,36,80,3.921708
16.061636916,-70,-93,432.0,36,80,3.892709
17.065531,-70,-93,432.0,36,80,3.829291
18.069360833,-70,-93,432.0,36,80,3.8785
19.075284708,-71,-93,432.0,36,80,4.00925
20.079294666,-71,-93,432.0,36,80,3.720125
21.085024416,-70,-93,432.0,36,80,3.776834
22.088842916,-70,-93,432.0,36,80,3.640084
23.092483791,-70,-93,432.0,36,80,4.081667
24.097095541,-70,-93,432.0,36,80,3.844167
25.100980083,-70,-93,432.0,36,80,3.882375
26.104863083,-70,-93,432.0,36,80,3.909208
27.108772958,-70,-93,408.0,36,80,3.703708
28.112514166,-70,-93,408.0,36,80,3.501417
29.116016125,-70,-93,408.0,36,80,3.958416
30.121983791,-70,-93,408.0,36,80,3.949875
31.128036291,-70,-93,408.0,36,80,4.24275
32.133182166,-70,-93,576.0,36,80,3.920709
33.139113791,-70,-93,576.0,36,80,3.51375
34.14266925,-70,-93,576.0,36,80,3.283208
35.14796775,-70,-93,576.0,36,80,4.062375
36.154036875,-70,-93,576.0,36,80,3.943666
37.1580235,-70,-93,408.0,36,80,4.010083
38.162034208,-70,-93,408.0,36,80,3.404125
39.165438875,-70,-93,408.0,36,80,3.571083
40.169053,-70,-93,408.0,36,80,3.671125
41.17272525,-70,-93,408.0,36,80,3.936125
42.1766625,-70,-93,432.0,36,80,3.535791
43.180238625,-70,-93,432.0,36,80,3.828791
44.184760666,-70,-93,432.0,36,80,3.825084
45.188586333,-69,-93,432.0,36,80,3.878792
46.19316125,-70,-93,432.0,36,80,4.032583
47.197194583,-69,-93,432.0,36,80,3.485083
48.20068025,-70,-93,432.0,36,80,4.086791
49.2048075,-70,-93,432.0,36,80,3.762
50.209150583,-69,-93,432.0,36,80,3.488708
51.212639958,-69,-93,432.0,36,80,3.780083
52.218481166,-69,-93,432.0,36,80,3.79275
53.222274583,-69,-93,432.0,36,80,4.050792
54.228092208,-69,-93,432.0,36,80,3.782167
55.231917625,-69,-93,432.0,36,80,4.095208
56.236013458,-69,-93,432.0,36,80,3.804333
57.239818583,-69,-93,408.0,36,80,4.099375
58.243958916,-69,-93,408.0,36,80,3.69225
59.247651791,-70,-93,408.0,36,80,3.91575
60.251568041,-69,-93,408.0,36,80,3.835959
