at_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,cost_ms
1.6708e-05,-70,-95,432.0,36,80,3.395792
1.003542667,-69,-95,432.0,36,80,3.736916
2.007281417,-70,-95,432.0,36,80,3.645083
3.010927542,-70,-95,432.0,36,80,3.860333
4.014840125,-70,-95,576.0,36,80,4.388333
5.020495333,-69,-95,576.0,36,80,4.039625
6.026084833,-69,-95,576.0,36,80,3.326042
7.029452667,-70,-95,576.0,36,80,3.338166
8.034193458,-69,-95,576.0,36,80,3.470209
9.037664875,-69,-95,544.0,36,80,3.481708
10.042947375,-70,-95,544.0,36,80,3.492792
11.046440958,-70,-95,544.0,36,80,4.049459
12.050491125,-69,-95,544.0,36,80,4.01475
13.054550333,-70,-95,544.0,36,80,4.754834
14.059305917,-70,-95,576.0,36,80,3.767083
15.063073792,-70,-95,576.0,36,80,3.418166
16.06653325,-70,-95,576.0,36,80,4.061958
17.070597875,-70,-95,576.0,36,80,4.039333
18.07463775,-70,-95,576.0,36,80,5.201583
19.079877667,-70,-95,544.0,36,80,5.111458
20.086714333,-70,-95,544.0,36,80,4.203834
21.092280625,-70,-95,544.0,36,80,5.444583
22.099061375,-70,-95,544.0,36,80,3.913875
23.102976042,-70,-95,544.0,36,80,4.338041
24.107314667,-70,-95,576.0,36,80,3.744708
25.112688042,-70,-95,576.0,36,80,4.241625
26.118938458,-70,-95,576.0,36,80,3.994125
27.122933125,-70,-95,576.0,36,80,3.815833
28.12793775,-71,-95,576.0,36,80,3.795042
29.131733375,-70,-95,576.0,36,80,3.465667
30.135199542,-70,-95,576.0,36,80,3.647416
31.140068417,-70,-95,576.0,36,80,3.614791
32.145692708,-70,-95,576.0,36,80,3.555625
33.15028625,-70,-95,576.0,36,80,3.285917
34.153612042,-70,-95,432.0,36,80,3.893333
35.157506042,-70,-95,432.0,36,80,4.929083
36.16243575,-70,-95,432.0,36,80,4.196417
37.166679042,-69,-95,432.0,36,80,5.333041
38.172012708,-69,-95,432.0,36,80,3.921959
39.1779415,-69,-95,576.0,36,80,3.932333
40.183021083,-69,-95,576.0,36,80,4.407709
41.187429583,-69,-95,576.0,36,80,3.753
42.191182958,-69,-95,576.0,36,80,4.084625
43.195389958,-69,-95,576.0,36,80,3.635125
44.199025417,-69,-95,576.0,36,80,3.724125
45.204106917,-69,-95,576.0,36,80,4.20275
46.208356583,-69,-95,576.0,36,80,3.9515
47.214255833,-69,-95,576.0,36,80,3.907334
48.218163583,-69,-95,576.0,36,80,4.062042
49.224277083,-69,-95,576.0,36,80,3.957459
50.228235167,-69,-95,576.0,36,80,3.673333
51.231909,-69,-95,576.0,36,80,3.664
52.237555375,-69,-95,576.0,36,80,3.836042
53.241391958,-69,-95,576.0,36,80,3.827292
54.245219917,-69,-95,432.0,36,80,3.787666
55.249053333,-68,-95,432.0,36,80,3.839167
56.252892875,-68,-95,432.0,36,80,3.758792
57.25865875,-69,-95,432.0,36,80,3.931375
58.262633917,-69,-95,432.0,36,80,3.7075
59.2664695,-69,-95,432.0,36,80,3.549833
60.270019875,-69,-95,432.0,36,80,3.956333
61.274047583,-69,-95,432.0,36,80,3.817209
62.277865667,-69,-95,432.0,36,80,4.252166
63.283199875,-70,-95,432.0,36,80,3.979792
64.287223125,-70,-95,432.0,36,80,4.26125
65.291802167,-70,-95,432.0,36,80,4.045875
