at_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,cost_ms
2.0459e-05,-69,-94,576.0,36,80,3.348375
1.003371625,-70,-94,576.0,36,80,3.547292
2.006920875,-70,-94,576.0,36,80,3.325709
3.010247292,-70,-94,576.0,36,80,3.932375
4.016242042,-70,-94,576.0,36,80,4.155458
5.021695709,-70,-94,576.0,36,80,3.692
6.026862459,-70,-94,576.0,36,80,3.749291
7.030653375,-70,-94,576.0,36,80,3.779459
8.034433542,-70,-94,576.0,36,80,3.543042
9.037978,-70,-94,576.0,36,80,3.604875
10.043654334,-70,-94,576.0,36,80,3.990125
11.047645209,-70,-94,576.0,36,80,3.60925
12.051255042,-69,-94,576.0,36,80,4.291458
13.057598917,-70,-94,576.0,36,80,4.123708
14.061723292,-70,-94,576.0,36,80,3.932583
15.067420084,-70,-94,612.0,36,80,4.15475
16.072313209,-70,-94,612.0,36,80,3.842875
17.076159709,-70,-94,612.0,36,80,3.732166
18.08043575,-70,-94,612.0,36,80,3.727667
19.084202459,-70,-94,612.0,36,80,4.06775
20.088645667,-71,-94,576.0,36,80,3.993125
21.092639584,-70,-94,576.0,36,80,4.181333
22.09685975,-69,-94,576.0,36,80,3.766959
23.100627292,-71,-94,576.0,36,80,4.216417
24.104844375,-70,-94,576.0,36,80,3.819334
25.110016125,-70,-94,576.0,36,80,4.299084
26.115000542,-71,-94,576.0,36,80,3.391292
27.118392625,-71,-94,576.0,36,80,3.921667
28.1223585,-70,-94,576.0,36,80,3.490209
29.125855375,-71,-94,576.0,36,80,3.848792
30.129705167,-70,-94,576.0,36,80,3.877042
31.133674292,-70,-94,576.0,36,80,3.35475
32.138795625,-70,-94,576.0,36,80,3.398209
33.142195209,-70,-94,576.0,36,80,3.855
34.146095792,-71,-94,576.0,36,80,3.781292
35.150725125,-70,-94,576.0,36,80,3.971584
36.154697292,-71,-94,576.0,36,80,3.460625
37.158206084,-70,-94,576.0,36,80,14.775208
38.172982084,-68,-94,576.0,36,80,4.161625
39.177144417,-70,-94,576.0,36,80,4.055125
40.182019334,-70,-94,544.0,36,80,3.571125
41.187398875,-70,-94,544.0,36,80,4.032167
42.193151334,-69,-94,544.0,36,80,3.3535
43.196549584,-69,-94,544.0,36,80,3.564041
44.201284917,-69,-94,544.0,36,80,3.8045
45.205090084,-70,-94,576.0,36,80,3.693125
46.210531125,-69,-94,576.0,36,80,3.867375
47.214399125,-69,-94,576.0,36,80,3.936542
48.220296542,-69,-94,576.0,36,80,3.878333
49.224214084,-68,-94,576.0,36,80,3.868125
50.228083334,-69,-94,576.0,36,80,3.705541
51.233300125,-68,-94,576.0,36,80,4.121917
52.237469042,-72,-94,576.0,36,80,3.200125
53.240669625,-68,-94,576.0,36,80,4.220667
54.244891125,-70,-94,576.0,36,80,3.93425
55.248865959,-70,-94,576.0,36,80,4.07925
56.253135334,-70,-94,576.0,36,80,4.864708
57.260009042,-70,-94,576.0,36,80,4.098125
58.264152834,-69,-94,576.0,36,80,3.801541
59.267954875,-69,-94,576.0,36,80,3.838625
60.271794209,-69,-94,576.0,36,80,3.709833
61.275587125,-69,-94,576.0,36,80,3.742709
62.27933025,-69,-94,576.0,36,80,3.563959
63.284345417,-69,-94,576.0,36,80,3.54
64.287929167,-70,-94,576.0,36,80,3.68225
65.291612875,-71,-94,576.0,36,80,3.893417
66.295506792,-71,-94,576.0,36,80,3.536375
67.30090975,-71,-94,576.0,36,80,3.842917
68.304753542,-70,-94,576.0,36,80,3.738417
69.308657125,-69,-94,576.0,36,80,3.632709
70.313044917,-69,-94,576.0,36,80,3.808083
71.3168535,-70,-94,576.0,36,80,3.77125
72.322315,-68,-94,576.0,36,80,3.590834
73.325943917,-70,-94,576.0,36,80,3.714583
74.32965925,-69,-94,576.0,36,80,3.964125
75.33362425,-69,-94,576.0,36,80,3.943125
76.337613375,-70,-94,576.0,36,80,3.792
77.342125917,-70,-94,576.0,36,80,3.49075
78.345617584,-69,-94,576.0,36,80,3.357541
79.350558334,-69,-94,576.0,36,80,5.12925
80.355688459,-69,-94,432.0,36,80,3.89575
81.35958475,-69,-94,432.0,36,80,3.752542
82.363383209,-69,-94,432.0,36,80,3.868041
83.367251625,-69,-94,432.0,36,80,3.554542
84.370806875,-68,-94,544.0,36,80,4.941667
85.376613084,-68,-94,544.0,36,80,3.445416
