at_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,cost_ms
1.9542e-05,-70,-94,432.0,36,80,3.246375
1.005204833,-70,-94,432.0,36,80,4.117292
2.009325083,-70,-94,432.0,36,80,4.116792
3.013442917,-71,-94,432.0,36,80,3.953041
4.018097708,-70,-94,432.0,36,80,3.797125
5.023902708,-70,-94,432.0,36,80,4.586
6.028489375,-70,-94,432.0,36,80,3.774542
7.032307583,-70,-94,432.0,36,80,4.11625
8.036424583,-70,-94,408.0,36,80,4.58225
9.041008375,-70,-94,408.0,36,80,7.611458
10.048665375,-70,-94,408.0,36,80,3.795958
11.052462083,-71,-94,408.0,36,80,3.844209
12.05831425,-71,-94,408.0,36,80,5.625458
13.063983833,-71,-95,544.0,36,80,4.033417
14.06801775,-71,-95,544.0,36,80,4.945333
15.073143667,-71,-95,544.0,36,80,4.798916
16.077983292,-70,-95,544.0,36,80,4.869083
17.082854458,-71,-95,544.0,36,80,3.755792
18.086610833,-71,-95,432.0,36,80,4.166625
19.091979583,-71,-95,432.0,36,80,6.032667
20.098014833,-71,-95,432.0,36,80,3.553167
21.101568625,-70,-95,432.0,36,80,4.210833
22.105820917,-70,-95,432.0,36,80,3.739375
23.1115045,-70,-95,544.0,36,80,3.382292
24.116895333,-71,-95,544.0,36,80,3.920625
25.1208545,-70,-95,544.0,36,80,3.894667
26.124749708,-70,-95,544.0,36,80,3.774459
27.128524792,-70,-95,544.0,36,80,4.030041
28.134578667,-70,-95,432.0,36,80,3.53125
29.138110542,-70,-95,432.0,36,80,3.758708
30.143876708,-70,-95,432.0,36,80,3.609084
31.149240958,-70,-95,432.0,36,80,3.846375
32.153088083,-70,-95,432.0,36,80,3.80675
33.156896208,-70,-95,432.0,36,80,2.998459
34.161893375,-70,-95,432.0,36,80,3.60725
35.165501667,-70,-95,432.0,36,80,3.960875
36.169463333,-70,-95,432.0,36,80,3.931584
37.173434833,-71,-95,432.0,36,80,3.595042
38.17703075,-71,-95,408.0,36,80,3.772375
39.18080375,-70,-95,408.0,36,80,3.811458
40.184656,-71,-95,408.0,36,80,3.9035
41.188560042,-70,-95,408.0,36,80,3.729083
42.192289833,-70,-95,408.0,36,80,3.377459
43.19713925,-71,-95,432.0,36,80,3.984417
44.201124625,-70,-95,432.0,36,80,3.75925
45.204884542,-70,-95,432.0,36,80,3.786333
46.208713458,-70,-95,432.0,36,80,3.685084
47.212399167,-70,-95,432.0,36,80,3.765833
48.21707375,-72,-95,408.0,36,80,3.867917
49.221369833,-70,-95,408.0,36,80,3.582375
50.224953083,-70,-95,408.0,36,80,3.521959
51.22847575,-70,-95,408.0,36,80,3.893917
52.232410667,-70,-95,408.0,36,80,3.843125
53.236254375,-70,-94,432.0,36,80,4.268542
54.242197958,-70,-94,432.0,36,80,3.692625
55.245934292,-70,-94,432.0,36,80,3.619458
56.249554458,-70,-94,432.0,36,80,3.98925
57.253590208,-70,-94,432.0,36,80,3.703792
58.257334917,-70,-94,432.0,36,80,3.932
59.261375417,-70,-94,432.0,36,80,4.020583
60.265396833,-70,-94,432.0,36,80,3.728834
61.26921,-70,-94,432.0,36,80,3.903958
62.273114708,-70,-94,432.0,36,80,3.470209
63.2765855,-71,-94,432.0,36,80,3.703625
64.280329458,-71,-94,432.0,36,80,3.809875
65.284141208,-70,-94,432.0,36,80,3.8435
66.287985292,-72,-94,432.0,36,80,3.765916
67.293224208,-71,-94,432.0,36,80,3.842875
68.297067708,-71,-94,432.0,36,80,7.812917
69.304881417,-71,-94,432.0,36,80,3.99625
70.310923208,-71,-94,432.0,36,80,3.61675
71.316179125,-71,-94,432.0,36,80,3.812333
72.319992292,-70,-94,432.0,36,80,3.460291
73.323494833,-70,-94,432.0,36,80,3.812167
74.327307625,-71,-94,432.0,36,80,3.974292
75.333290208,-71,-94,432.0,36,80,3.144667
76.336472,-71,-94,432.0,36,80,3.437667
77.339910375,-71,-94,432.0,36,80,3.578625
78.343489625,-71,-94,432.0,36,80,3.9075
79.347437333,-71,-94,432.0,36,80,3.880042
80.351317875,-71,-94,432.0,36,80,3.780333
81.355099208,-71,-94,432.0,36,80,3.690209
82.358832333,-69,-94,432.0,36,80,3.393667
83.364234083,-70,-94,576.0,36,80,3.760167
84.367995042,-72,-94,576.0,36,80,3.753541
85.371788125,-70,-94,576.0,36,80,3.85375
86.375642792,-70,-94,576.0,36,80,3.618333
87.379261833,-70,-94,576.0,36,80,3.904375
88.38321275,-70,-94,576.0,36,80,3.514167
89.386727542,-70,-94,576.0,36,80,4.02325
90.390751917,-70,-94,576.0,36,80,3.842458
91.395711542,-70,-94,576.0,36,80,2.987875
92.400709375,-70,-94,576.0,36,80,3.926417
93.406351125,-70,-94,544.0,36,80,4.022292
94.410421958,-69,-94,544.0,36,80,3.806417
95.414363375,-69,-94,544.0,36,80,3.754708
96.418118833,-69,-94,544.0,36,80,3.994417
97.422152292,-70,-94,544.0,36,80,3.456
98.425609083,-70,-94,544.0,36,80,3.822584
99.430021083,-70,-94,544.0,36,80,3.773209
100.435016167,-69,-94,544.0,36,80,3.786666
101.4388035,-69,-94,544.0,36,80,3.666875
102.444478333,-69,-94,544.0,36,80,3.734375
103.44941975,-69,-94,432.0,36,80,4.061792
104.45348225,-71,-94,432.0,36,80,3.950833
105.457433875,-70,-94,432.0,36,80,3.690958
106.461169417,-69,-94,432.0,36,80,3.95
107.465120125,-69,-94,432.0,36,80,3.738167
108.468859333,-69,-93,576.0,36,80,3.6165
109.472512083,-69,-93,576.0,36,80,4.000917
110.476513833,-69,-93,576.0,36,80,3.107125
111.479621625,-69,-93,576.0,36,80,3.530833
112.483188083,-69,-93,576.0,36,80,3.697792
113.488894542,-69,-93,576.0,36,80,3.689375
114.492584542,-69,-93,576.0,36,80,3.609416
115.49623625,-69,-93,576.0,36,80,3.709542
116.500227708,-69,-93,576.0,36,80,4.481459
117.506669375,-69,-93,576.0,36,80,4.16525
118.510871708,-69,-93,576.0,36,80,4.177959
119.51706175,-69,-93,576.0,36,80,3.992792
