at_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,cost_ms
2.1125e-05,-68,-94,576.0,36,80,3.387666
1.004226458,-68,-94,576.0,36,80,4.591708
2.00882025,-68,-94,576.0,36,80,3.692416
3.012513625,-68,-94,576.0,36,80,3.575
4.016138208,-68,-94,576.0,36,80,4.011208
5.02165075,-68,-94,576.0,36,80,3.93325
6.025584708,-68,-94,576.0,36,80,3.776167
7.031406083,-68,-94,576.0,36,80,3.842042
8.037258541,-68,-94,576.0,36,80,3.732834
9.040992791,-68,-94,576.0,36,80,3.745542
10.044780333,-68,-94,576.0,36,80,4.298958
11.0490805,-68,-94,576.0,36,80,4.016916
12.055106458,-68,-94,576.0,36,80,3.960875
13.059177458,-68,-94,576.0,36,80,3.84125
14.065027,-68,-94,576.0,36,80,4.108041
15.069136,-68,-94,576.0,36,80,3.885583
16.073066458,-68,-94,576.0,36,80,3.633375
17.076701458,-68,-94,576.0,36,80,4.104542
18.081672791,-68,-94,576.0,36,80,3.739459
19.087250625,-68,-94,576.0,36,80,3.724958
20.09210425,-68,-94,576.0,36,80,3.967416
21.096072291,-68,-94,576.0,36,80,3.489209
22.101611291,-68,-94,576.0,36,80,4.048542
23.105660666,-68,-94,576.0,36,80,4.009709
24.109670916,-68,-94,576.0,36,80,4.744375
25.115560666,-68,-94,576.0,36,80,4.043792
26.1196055,-68,-94,576.0,36,80,4.094958
27.125710291,-68,-94,576.0,36,80,3.931334
28.131043375,-68,-94,576.0,36,80,3.622541
29.134666791,-68,-94,576.0,36,80,3.978167
30.138645458,-68,-94,576.0,36,80,4.428
31.143168291,-68,-94,576.0,36,80,4.10625
32.148015375,-68,-94,576.0,36,80,3.952041
33.151969,-68,-94,576.0,36,80,3.996833
34.158018666,-68,-94,576.0,36,80,3.787084
35.162658458,-68,-94,576.0,36,80,4.275125
36.168046958,-68,-94,576.0,36,80,4.11925
37.172211833,-68,-94,576.0,36,80,3.655
38.175867458,-68,-94,576.0,36,80,4.146833
39.180015083,-68,-94,544.0,36,80,3.79375
40.184515833,-68,-94,544.0,36,80,3.85775
41.188373958,-68,-94,544.0,36,80,4.157292
42.192778375,-68,-94,544.0,36,80,4.218666
43.199054791,-68,-94,544.0,36,80,3.468292
44.202574041,-68,-94,576.0,36,80,4.283792
45.208873083,-68,-94,576.0,36,80,4.0975
46.213016041,-68,-94,576.0,36,80,3.9075
47.216924541,-68,-94,576.0,36,80,3.926459
48.220851916,-68,-94,576.0,36,80,4.663209
49.225558,-68,-94,576.0,36,80,3.949208
50.229507583,-68,-94,576.0,36,80,4.152917
51.235670041,-68,-94,576.0,36,80,4.124334
52.241849166,-68,-94,576.0,36,80,3.882917
53.245732791,-68,-94,576.0,36,80,4.5095
54.250243416,-68,-94,576.0,36,80,4.193959
55.254484041,-68,-94,576.0,36,80,4.140334
56.258625291,-68,-94,576.0,36,80,3.833667
57.262870625,-68,-94,576.0,36,80,4.926333
58.269932291,-68,-94,576.0,36,80,4.109084
59.274041958,-68,-94,576.0,36,80,3.751708
60.279808875,-68,-94,576.0,36,80,4.439
61.284343458,-68,-94,576.0,36,80,3.882583
62.288226958,-68,-94,576.0,36,80,3.936958
63.292164333,-68,-94,576.0,36,80,4.453417
64.298675791,-68,-94,576.0,36,80,3.98875
65.302666458,-68,-94,576.0,36,80,3.733792
66.306400875,-68,-94,576.0,36,80,3.89975
67.311837625,-68,-94,576.0,36,80,3.82125
68.315659416,-68,-94,576.0,36,80,3.723375
69.3193835,-68,-94,576.0,36,80,4.222708
70.325656791,-68,-94,576.0,36,80,4.158375
71.329816125,-68,-94,576.0,36,80,3.353458
72.334132,-68,-94,576.0,36,80,4.463708
73.338639583,-68,-94,576.0,36,80,4.351625
74.342992,-68,-94,576.0,36,80,3.935708
75.34893925,-68,-94,576.0,36,80,4.109208
76.353920625,-68,-94,576.0,36,80,4.451375
77.358373166,-68,-94,576.0,36,80,4.1625
78.362536333,-68,-94,576.0,36,80,4.017583
