at_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,cost_ms
1.5709e-05,-69,-94,576.0,36,80,3.385166
1.003402209,-69,-94,576.0,36,80,4.004625
2.00941875,-69,-94,576.0,36,80,3.844834
3.013554167,-70,-94,544.0,36,80,3.96625
4.01757475,-69,-94,544.0,36,80,3.962834
5.022024542,-69,-94,544.0,36,80,3.696
6.025721125,-69,-94,544.0,36,80,3.935667
7.030103334,-69,-94,544.0,36,80,3.937208
8.034267,-70,-94,567.0,36,80,4.372875
9.038641417,-69,-94,567.0,36,80,3.56525
10.042248125,-69,-94,567.0,36,80,3.807
11.046055875,-69,-94,567.0,36,80,3.778792
12.049835292,-69,-94,567.0,36,80,3.594792
13.053474334,-69,-94,432.0,36,80,3.886416
14.057361542,-69,-94,432.0,36,80,3.893958
15.063263542,-69,-94,432.0,36,80,3.824083
16.067161584,-69,-94,432.0,36,80,3.768083
17.070931417,-69,-94,432.0,36,80,4.294
18.076525792,-69,-94,432.0,36,80,3.759375
19.080516167,-69,-94,432.0,36,80,3.716875
20.086244834,-69,-94,432.0,36,80,3.567666
21.091188792,-69,-94,432.0,36,80,3.909625
22.09669175,-69,-94,432.0,36,80,2.911709
23.099604042,-69,-94,432.0,36,80,4.144083
24.103748917,-69,-94,432.0,36,80,3.519042
25.107312167,-69,-94,432.0,36,80,3.659583
26.112978,-69,-94,432.0,36,80,3.809792
27.118800792,-69,-94,432.0,36,80,3.709583
28.122557,-69,-94,288.0,36,80,3.819625
29.127556459,-70,-94,288.0,36,80,3.910583
30.131467834,-69,-94,288.0,36,80,3.896875
31.136480084,-69,-94,288.0,36,80,3.986041
32.140466834,-69,-94,288.0,36,80,3.733416
33.145223584,-69,-94,432.0,36,80,3.848375
34.149109792,-69,-94,432.0,36,80,3.494667
35.154613167,-69,-94,432.0,36,80,3.811333
36.158425125,-69,-94,432.0,36,80,3.490875
37.161960209,-69,-94,432.0,36,80,4.083125
38.166043959,-70,-94,432.0,36,80,3.720958
39.169765375,-70,-94,432.0,36,80,3.748084
40.173559292,-70,-94,432.0,36,80,3.9465
41.177506584,-70,-94,432.0,36,80,3.52575
42.183040959,-70,-94,432.0,36,80,4.085958
43.188788875,-70,-94,432.0,36,80,4.110625
44.192900084,-70,-94,432.0,36,80,3.898875
45.196799542,-70,-94,432.0,36,80,3.66875
46.200515375,-70,-94,432.0,36,80,3.742709
47.20425875,-69,-94,432.0,36,80,3.399
48.209668125,-69,-94,103.0,36,80,3.777
49.213483375,-71,-94,103.0,36,80,3.797334
50.217281417,-70,-94,103.0,36,80,3.610375
51.220892834,-70,-94,103.0,36,80,3.72375
52.226285542,-70,-94,103.0,36,80,3.625583
53.229911875,-70,-94,576.0,36,80,3.818667
54.233731334,-70,-94,576.0,36,80,3.959291
55.237732584,-70,-94,576.0,36,80,3.828791
56.241562542,-69,-94,576.0,36,80,4.153417
57.245716542,-69,-94,576.0,36,80,3.582583
58.249341084,-70,-94,432.0,36,80,3.632291
59.254980292,-70,-94,432.0,36,80,4.0255
60.259006375,-70,-94,432.0,36,80,3.741792
61.262829875,-70,-94,432.0,36,80,3.698167
62.266528667,-70,-94,432.0,36,80,3.9465
63.270475834,-70,-94,432.0,36,80,3.999791
64.274514584,-70,-94,432.0,36,80,4.23825
65.279738625,-69,-94,432.0,36,80,3.351542
66.28309075,-70,-94,432.0,36,80,3.41825
67.287907125,-70,-94,432.0,36,80,4.0455
68.2919535,-69,-94,576.0,36,80,4.113
69.29606725,-70,-94,576.0,36,80,3.842917
70.301961,-71,-94,576.0,36,80,3.524375
71.305486167,-70,-94,576.0,36,80,3.951375
72.310724,-70,-94,576.0,36,80,3.128625
73.313890209,-70,-94,408.0,36,80,3.832375
74.31772325,-70,-94,408.0,36,80,7.153709
75.324877667,-70,-94,408.0,36,80,3.936833
76.3288535,-69,-94,408.0,36,80,3.874875
77.332728834,-70,-94,408.0,36,80,3.7845
78.336513959,-69,-94,432.0,36,80,4.002333
79.342565209,-69,-94,432.0,36,80,4.115583
80.348687584,-69,-94,432.0,36,80,3.993458
81.35268175,-69,-94,432.0,36,80,3.54725
82.358279042,-69,-94,432.0,36,80,3.760167
83.362039875,-69,-94,432.0,36,80,3.69425
84.365734834,-69,-94,432.0,36,80,3.715208
85.369491459,-69,-94,432.0,36,80,7.353458
86.377872584,-69,-94,432.0,36,80,3.860416
87.381733542,-69,-94,432.0,36,80,3.722958
88.385499417,-69,-94,576.0,36,80,3.963625
89.391472125,-69,-94,576.0,36,80,3.648125
90.395890834,-69,-94,576.0,36,80,3.809041
91.401506292,-69,-94,576.0,36,80,3.74425
92.405251084,-69,-94,576.0,36,80,3.666291
93.409537125,-69,-94,576.0,36,80,3.633167
94.413215875,-69,-94,576.0,36,80,3.830875
95.417047459,-70,-94,576.0,36,80,4.203875
96.421252375,-69,-94,576.0,36,80,3.699792
97.424993542,-68,-94,576.0,36,80,3.87375
98.428867917,-68,-94,576.0,36,80,3.842375
99.433800625,-68,-94,576.0,36,80,3.672625
100.4375225,-69,-94,576.0,36,80,4.041667
101.443023917,-68,-94,576.0,36,80,3.515042
102.4465395,-69,-94,576.0,36,80,3.864875
103.450448917,-70,-94,544.0,36,80,3.685292
104.454278542,-69,-94,544.0,36,80,3.767333
105.458046334,-69,-94,544.0,36,80,3.7555
106.461846959,-69,-94,544.0,36,80,3.809791
107.466332542,-69,-94,544.0,36,80,3.907292
108.470240584,-68,-94,576.0,36,80,4.921833
109.477208292,-69,-94,576.0,36,80,3.877083
110.483096875,-68,-94,576.0,36,80,3.438459
111.486535959,-69,-94,576.0,36,80,4.300958
112.490881792,-69,-94,576.0,36,80,4.015125
113.494900584,-69,-94,432.0,36,80,4.113
114.499015,-69,-94,432.0,36,80,3.710417
115.502763209,-68,-94,432.0,36,80,3.952333
116.506716459,-68,-94,432.0,36,80,3.910541
117.510627584,-69,-94,432.0,36,80,3.938333
118.515094,-68,-94,576.0,36,80,3.900417
119.51899525,-69,-94,576.0,36,80,3.820625
