t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
0.000,1786567595.830,-70,-95,216,116,80,6
1.005,1786567596.835,-70,-95,216,116,80,6
2.002,1786567597.831,-69,-95,288,116,80,6
3.003,1786567598.833,-69,-95,288,116,80,6
4.005,1786567599.834,-70,-95,288,116,80,6
5.004,1786567600.834,-70,-95,288,116,80,6
6.003,1786567601.833,-69,-95,288,116,80,6
7.001,1786567602.831,-70,-95,288,116,80,6
8.001,1786567603.830,-68,-95,288,116,80,6
9.003,1786567604.842,-69,-95,288,116,80,6
10.005,1786567605.834,-69,-95,288,116,80,6
11.003,1786567606.832,-69,-95,288,116,80,6
12.001,1786567607.831,-69,-94,288,116,80,6
13.005,1786567608.833,-69,-94,288,116,80,6
14.001,1786567609.830,-69,-94,288,116,80,6
15.002,1786567610.831,-69,-94,288,116,80,6
16.005,1786567611.834,-69,-94,288,116,80,6
17.000,1786567612.829,-69,-94,288,116,80,6
18.003,1786567613.833,-69,-94,288,116,80,6
19.003,1786567614.832,-69,-94,288,116,80,6
20.003,1786567615.831,-69,-94,288,116,80,6
21.003,1786567616.832,-69,-94,288,116,80,6
22.003,1786567617.832,-69,-94,288,116,80,6
23.026,1786567618.862,-69,-94,288,116,80,6
24.002,1786567619.831,-68,-94,288,116,80,6
25.003,1786567620.832,-69,-94,288,116,80,6
26.003,1786567621.832,-68,-94,288,116,80,6
27.002,1786567622.831,-69,-94,272,116,80,6
28.000,1786567623.829,-68,-94,272,116,80,6
29.003,1786567624.832,-68,-94,272,116,80,6
30.001,1786567625.830,-68,-94,272,116,80,6
31.002,1786567626.831,-68,-94,272,116,80,6
32.003,1786567627.832,-68,-94,272,116,80,6
33.004,1786567628.833,-68,-94,272,116,80,6
34.004,1786567629.833,-68,-94,272,116,80,6
35.005,1786567630.834,-68,-94,272,116,80,6
36.003,1786567631.832,-68,-94,272,116,80,6
37.003,1786567632.831,-69,-94,272,116,80,6
38.001,1786567633.830,-70,-94,272,116,80,6
39.003,1786567634.832,-70,-94,272,116,80,6
40.004,1786567635.833,-70,-94,272,116,80,6
41.003,1786567636.832,-70,-94,272,116,80,6
42.000,1786567637.829,-70,-94,288,116,80,6
43.005,1786567638.833,-71,-94,288,116,80,6
44.003,1786567639.832,-71,-94,288,116,80,6
45.003,1786567640.832,-71,-94,288,116,80,6
46.005,1786567641.834,-70,-94,288,116,80,6
47.003,1786567642.832,-70,-94,408,116,80,6
48.004,1786567643.832,-70,-94,408,116,80,6
49.002,1786567644.831,-70,-94,408,116,80,6
50.002,1786567645.831,-70,-94,408,116,80,6
51.004,1786567646.833,-69,-94,408,116,80,6
52.002,1786567647.831,-70,-94,272,116,80,6
53.000,1786567648.829,-70,-94,272,116,80,6
54.003,1786567649.832,-69,-94,272,116,80,6
55.005,1786567650.834,-69,-94,272,116,80,6
56.005,1786567651.834,-69,-94,272,116,80,6
57.003,1786567652.831,-69,-94,288,116,80,6
58.001,1786567653.830,-69,-94,288,116,80,6
59.000,1786567654.829,-71,-94,288,116,80,6
60.000,1786567655.829,-69,-94,288,116,80,6
61.001,1786567656.830,-68,-94,288,116,80,6
62.001,1786567657.829,-68,-94,204,116,80,6
63.002,1786567658.831,-68,-94,204,116,80,6
64.001,1786567659.831,-62,-94,204,116,80,6
65.005,1786567660.834,-59,-94,204,116,80,6
66.003,1786567661.833,-63,-94,204,116,80,6
67.000,1786567662.831,-58,-94,432,116,80,6
68.000,1786567663.829,-61,-94,432,116,80,6
69.005,1786567664.834,-61,-94,432,116,80,6
70.000,1786567665.829,-61,-94,432,116,80,6
71.000,1786567666.829,-62,-94,432,116,80,6
72.003,1786567667.833,-62,-94,648,116,80,6
73.002,1786567668.831,-62,-94,648,116,80,6
74.005,1786567669.834,-62,-94,648,116,80,6
75.002,1786567670.831,-61,-94,648,116,80,6
76.002,1786567671.831,-61,-94,648,116,80,6
77.000,1786567672.829,-62,-94,648,116,80,6
