t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1786576363.780,-50,-94,960,116,80,1
1.005,1786576364.787,-49,-94,1080,116,80,1
2.000,1786576365.782,-51,-94,1080,116,80,1
3.005,1786576366.787,-50,-94,1080,116,80,1
4.004,1786576367.786,-49,-94,1080,116,80,1
5.001,1786576368.783,-51,-94,1080,116,80,1
6.004,1786576369.786,-48,-95,258,116,80,1
7.005,1786576370.788,-51,-95,258,116,80,1
8.005,1786576371.788,-52,-95,258,116,80,1
9.005,1786576372.788,-51,-95,258,116,80,1
10.003,1786576373.785,-50,-95,258,116,80,1
11.005,1786576374.785,-53,-95,1020,116,80,1
12.004,1786576375.785,-52,-95,1020,116,80,1
13.005,1786576376.788,-52,-95,1020,116,80,1
14.000,1786576377.781,-51,-95,1020,116,80,1
15.005,1786576378.787,-51,-95,1020,116,80,1
16.003,1786576379.784,-52,-95,1080,116,80,1
17.000,1786576380.781,-51,-95,1080,116,80,1
18.005,1786576381.786,-51,-95,1080,116,80,1
19.005,1786576382.786,-52,-95,1080,116,80,1
20.005,1786576383.786,-51,-95,1080,116,80,1
21.003,1786576384.784,-49,-95,1080,116,80,1
22.004,1786576385.786,-50,-95,1080,116,80,1
23.005,1786576386.789,-50,-95,1080,116,80,1
24.005,1786576387.785,-50,-95,1080,116,80,1
25.003,1786576388.785,-51,-95,1080,116,80,1
26.003,1786576389.783,-50,-95,1080,116,80,1
27.000,1786576390.781,-50,-95,1080,116,80,1
28.000,1786576391.781,-53,-95,1080,116,80,1
29.000,1786576392.782,-51,-95,1080,116,80,1
30.000,1786576393.781,-51,-95,1080,116,80,1
31.000,1786576394.782,-50,-95,1080,116,80,1
32.001,1786576395.782,-48,-95,1080,116,80,1
33.005,1786576396.786,-53,-95,1080,116,80,1
34.005,1786576397.786,-51,-95,1080,116,80,1
35.004,1786576398.785,-50,-95,1080,116,80,1
36.005,1786576399.787,-50,-95,960,116,80,1
37.005,1786576400.785,-50,-95,960,116,80,1
38.004,1786576401.786,-50,-95,960,116,80,1
39.000,1786576402.781,-50,-95,960,116,80,1
40.005,1786576403.786,-52,-95,960,116,80,1
41.000,1786576404.781,-51,-95,960,116,80,1
42.002,1786576405.783,-52,-95,960,116,80,1
43.005,1786576406.785,-50,-95,960,116,80,1
44.005,1786576407.786,-51,-95,960,116,80,1
45.003,1786576408.785,-51,-95,960,116,80,1
46.000,1786576409.782,-51,-95,960,116,80,1
47.001,1786576410.783,-50,-95,960,116,80,1
