t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
121.005,1786574534.997,-47,-93,1200,36,80,6
122.000,1786574535.994,-47,-93,1200,36,80,6
123.000,1786574536.993,-47,-93,1200,36,80,6
124.003,1786574537.996,-46,-93,1200,36,80,6
125.001,1786574538.994,-47,-93,1200,36,80,6
126.001,1786574539.995,-47,-93,1200,36,80,6
127.005,1786574540.998,-47,-93,1200,36,80,6
128.005,1786574541.998,-47,-93,1200,36,80,6
129.005,1786574542.998,-47,-93,1200,36,80,6
130.005,1786574543.998,-47,-93,1200,36,80,6
131.000,1786574544.993,-47,-93,1200,36,80,6
132.004,1786574545.997,-47,-93,1200,36,80,6
133.010,1786574547.010,-46,-93,1200,36,80,6
134.001,1786574547.995,-47,-93,1200,36,80,6
135.005,1786574549.000,-47,-93,1200,36,80,6
136.004,1786574549.997,-48,-93,1200,36,80,6
137.000,1786574550.996,-47,-93,1200,36,80,6
138.002,1786574551.995,-48,-93,1200,36,80,6
139.000,1786574552.994,-47,-93,1200,36,80,6
140.005,1786574554.000,-48,-93,1200,36,80,6
141.001,1786574554.997,-47,-93,1200,36,80,6
142.000,1786574555.995,-48,-93,1200,36,80,6
143.005,1786574556.999,-48,-93,1200,36,80,6
